Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1941,tt0384814,2016-08-01,2016-08-01,,"Ask the Dust","Ask the Dust",https://www.imdb.com/title/tt0384814/,Movie,5.7,117,2006,"Drama, Romance",10363,2006-03-24,"Robert Towne"
1942,tt0094138,2016-08-01,2016-08-01,,"Three O'Clock High","Three O'Clock High",https://www.imdb.com/title/tt0094138/,Movie,7.1,101,1987,"Comedy",14096,1987-10-09,"Phil Joanou"
1943,tt2707858,2016-08-01,2016-08-01,,"Yves Saint Laurent","Yves Saint Laurent",https://www.imdb.com/title/tt2707858/,Movie,6.2,106,2014,"Biography, Drama",13590,2014-01-08,"Jalil Lespert"
1944,tt3083008,2016-08-01,2016-08-01,,"The Program","The Program",https://www.imdb.com/title/tt3083008/,Movie,6.5,104,2015,"Biography, Drama, Sport",20309,2016-03-18,"Stephen Frears"
1945,tt1885300,2016-08-01,2016-08-01,,"Best Man Down","Best Man Down",https://www.imdb.com/title/tt1885300/,Movie,6.4,89,2012,"Comedy, Drama",10242,2013-10-03,"Ted Koland"
1946,tt1329457,2016-08-01,2016-08-01,,"Gainsbourg: A Heroic Life","Gainsbourg (Vie héroïque)",https://www.imdb.com/title/tt1329457/,Movie,6.9,135,2010,"Biography, Drama, Music",10542,2010-01-20,"Joann Sfar"
1947,tt0042530,2016-08-01,2016-08-01,,"Gun Crazy","Gun Crazy",https://www.imdb.com/title/tt0042530/,Movie,7.6,87,1950,"Crime, Drama, Film-Noir, Romance, Thriller",16228,1950-01-20,"Joseph H. Lewis"
1948,tt1680136,2016-08-01,2016-08-01,,"Klown","Klovn: The Movie",https://www.imdb.com/title/tt1680136/,Movie,7.1,93,2010,"Comedy",12195,2010-12-16,"Mikkel Nørgaard"
1949,tt0087578,2016-08-01,2016-08-01,,"Wheels on Meals","Fai caan che",https://www.imdb.com/title/tt0087578/,Movie,7.0,100,1984,"Action, Comedy, Crime, Romance",16612,1984-08-17,"Sammo Kam-Bo Hung"
1950,tt0040536,2016-08-01,2016-08-01,,"Letter from an Unknown Woman","Letter from an Unknown Woman",https://www.imdb.com/title/tt0040536/,Movie,7.8,87,1948,"Drama, Romance",14567,1948-07-16,"Max Ophüls"
1951,tt0255067,2016-08-01,2016-08-01,,"Common Wealth","La comunidad",https://www.imdb.com/title/tt0255067/,Movie,7.2,110,2000,"Comedy, Crime, Mystery, Thriller",13573,2000-09-29,"Álex de la Iglesia"
1952,tt0110889,2016-08-01,2016-08-01,,"Priest","Priest",https://www.imdb.com/title/tt0110889/,Movie,7.1,98,1994,"Drama, Romance",11578,1995-03-24,"Antonia Bird"
1953,tt0452592,2016-08-01,2016-08-01,,"Borderland","Borderland",https://www.imdb.com/title/tt0452592/,Movie,5.6,105,2007,"Crime, Horror, Thriller",11213,2009-04-09,"Zev Berman"
1954,tt0234000,2016-08-01,2016-08-01,,"Kaho Naa... Pyaar Hai","Kaho Naa... Pyaar Hai",https://www.imdb.com/title/tt0234000/,Movie,6.9,172,2000,"Action, Musical, Romance, Thriller",17943,2000-01-14,"Rakesh Roshan"
1955,tt0071910,2016-08-01,2016-08-01,,"The Night Porter","Il portiere di notte",https://www.imdb.com/title/tt0071910/,Movie,6.6,118,1974,"Drama",16026,1974-10-01,"Liliana Cavani"
1956,tt0202402,2016-08-01,2016-08-01,,"Whatever It Takes","Whatever It Takes",https://www.imdb.com/title/tt0202402/,Movie,5.5,94,2000,"Comedy, Drama, Romance",12801,2000-03-24,"David Raynr"
1957,tt0141974,2016-08-01,2016-08-01,,"The War Zone","The War Zone",https://www.imdb.com/title/tt0141974/,Movie,7.2,98,1999,"Drama, Thriller",11795,1999-06-11,"Tim Roth"
1958,tt0171359,2016-08-01,2016-08-01,,"Hamlet","Hamlet",https://www.imdb.com/title/tt0171359/,Movie,5.9,112,2000,"Drama, Romance, Thriller",10289,2000-06-23,"Michael Almereyda"
1959,tt0243255,2016-08-01,2016-08-01,,"Fat Girl","À ma soeur!",https://www.imdb.com/title/tt0243255/,Movie,6.4,86,2001,"Drama",13719,2001-03-07,"Catherine Breillat"
1960,tt1059925,2016-08-01,2016-08-01,,"According to Greta","Greta",https://www.imdb.com/title/tt1059925/,Movie,6.1,92,2009,"Drama, Romance",10608,2009-12-11,"Nancy Bardawil"
1961,tt0449086,2016-08-01,2016-08-01,,"Dominion: Prequel to the Exorcist","Dominion: Prequel to the Exorcist",https://www.imdb.com/title/tt0449086/,Movie,5.1,117,2005,"Drama, Horror, Thriller",14656,2005-08-01,"Paul Schrader"
1962,tt0780583,2016-08-01,2016-08-01,,"Flight of the Living Dead","Plane Dead",https://www.imdb.com/title/tt0780583/,Movie,5.1,89,2007,"Horror",9904,2008-06-24,"Scott Thomas"
1963,tt0150216,2016-08-01,2016-08-01,,"Cradle Will Rock","Cradle Will Rock",https://www.imdb.com/title/tt0150216/,Movie,6.7,132,1999,"Drama",9815,2000-01-21,"Tim Robbins"
1964,tt3181776,2016-08-01,2016-08-01,,"Momentum","Momentum",https://www.imdb.com/title/tt3181776/,Movie,5.5,96,2015,"Action, Crime, Thriller",17633,2015-10-16,"Stephen S. Campanelli"
1965,tt0427582,2016-08-01,2016-08-01,,"The Method","El método",https://www.imdb.com/title/tt0427582/,Movie,7.1,115,2005,"Drama, Thriller",12690,2005-09-23,"Marcelo Piñeyro"
1966,tt0119214,2016-08-01,2016-08-01,,"Gone Fishin'","Gone Fishin'",https://www.imdb.com/title/tt0119214/,Movie,4.8,94,1997,"Comedy, Crime",11021,1997-05-30,"Christopher Cain"
1967,tt0086973,2016-08-01,2016-08-01,,"Blame It on Rio","Blame It on Rio",https://www.imdb.com/title/tt0086973/,Movie,5.8,100,1984,"Comedy, Romance",12909,1984-02-17,"Stanley Donen"
1968,tt0086859,2016-08-01,2016-08-01,,"Against All Odds","Against All Odds",https://www.imdb.com/title/tt0086859/,Movie,5.9,128,1984,"Action, Adventure, Crime, Drama, Romance, Thriller",14865,1984-03-02,"Taylor Hackford"
1969,tt0104926,2016-08-01,2016-08-01,,"Mr. Baseball","Mr. Baseball",https://www.imdb.com/title/tt0104926/,Movie,6.0,108,1992,"Comedy, Romance, Sport",12691,1992-10-02,"Fred Schepisi"
1970,tt0097758,2016-08-01,2016-08-01,,"Little Monsters","Little Monsters",https://www.imdb.com/title/tt0097758/,Movie,6.1,100,1989,"Adventure, Comedy, Family, Fantasy",15088,1989-08-25,"Richard Greenberg"
1971,tt1111890,2016-08-01,2016-08-01,,"Diary of a Nymphomaniac","Diario de una ninfómana",https://www.imdb.com/title/tt1111890/,Movie,5.6,101,2008,"Drama, Romance",12071,2008-10-17,"Christian Molina"
1972,tt0069895,2016-08-01,2016-08-01,,"The Crazies","The Crazies",https://www.imdb.com/title/tt0069895/,Movie,6.1,103,1973,"Action, Horror, Sci-Fi",15853,1973-03-16,"George A. Romero"
1973,tt1132285,2016-08-01,2016-08-01,,"The Factory","The Factory",https://www.imdb.com/title/tt1132285/,Movie,5.8,104,2012,"Crime, Mystery, Thriller",12179,2013-06-01,"Morgan O'Neill"
1974,tt2180477,2016-08-01,2016-08-01,,"Nanban","Nanban",https://www.imdb.com/title/tt2180477/,Movie,7.8,188,2012,"Comedy, Drama",17975,2012-01-12,"S. Shankar"
1975,tt2883434,2016-08-01,2016-08-01,,"Black or White","Black or White",https://www.imdb.com/title/tt2883434/,Movie,6.6,121,2014,"Drama",14350,2015-01-30,"Mike Binder"
1976,tt1417075,2016-08-01,2016-08-01,,"In Darkness","W ciemnosci",https://www.imdb.com/title/tt1417075/,Movie,7.3,145,2011,"Drama, War",11437,2012-01-05,"Agnieszka Holland"
1977,tt0337917,2016-08-01,2016-08-01,,"Catch That Kid","Catch That Kid",https://www.imdb.com/title/tt0337917/,Movie,5.2,91,2004,"Adventure, Comedy, Crime, Family",11327,2004-02-06,"Bart Freundlich"
1978,tt0099797,2016-08-01,2016-08-01,,"The Hot Spot","The Hot Spot",https://www.imdb.com/title/tt0099797/,Movie,6.4,130,1990,"Crime, Drama, Romance, Thriller",15057,1990-10-26,"Dennis Hopper"
1979,tt0031455,2016-08-01,2016-08-01,,"The Hunchback of Notre Dame","The Hunchback of Notre Dame",https://www.imdb.com/title/tt0031455/,Movie,7.8,116,1939,"Drama, Romance",13040,1939-12-29,"William Dieterle"
1980,tt0804505,2016-08-01,2016-08-01,,"Married Life","Married Life",https://www.imdb.com/title/tt0804505/,Movie,6.2,91,2007,"Biography, Crime, Drama, Family, Romance",10016,2008-03-28,"Ira Sachs"
1981,tt0428251,2016-08-01,2016-08-01,,"Venom","Venom",https://www.imdb.com/title/tt0428251/,Movie,4.7,87,2005,"Horror",11423,2005-09-16,"Jim Gillespie"
1982,tt0118541,2016-08-01,2016-08-01,,"8 Heads in a Duffel Bag","8 Heads in a Duffel Bag",https://www.imdb.com/title/tt0118541/,Movie,5.4,95,1997,"Adventure, Comedy, Crime, Mystery",11574,1997-04-18,"Tom Schulman"
1983,tt0280477,2016-08-01,2016-08-01,,"Better Luck Tomorrow","Better Luck Tomorrow",https://www.imdb.com/title/tt0280477/,Movie,7.0,101,2002,"Crime, Drama, Romance",10846,2003-04-25,"Justin Lin"
1984,tt0435653,2016-08-01,2016-08-01,,"The Gravedancers","The Gravedancers",https://www.imdb.com/title/tt0435653/,Movie,5.4,95,2006,"Horror",10447,2008-08-27,"Mike Mendez"
1985,tt0110538,2016-08-01,2016-08-01,,"Mixed Nuts","Mixed Nuts",https://www.imdb.com/title/tt0110538/,Movie,5.4,97,1994,"Comedy, Drama",14392,1994-12-21,"Nora Ephron"
1986,tt0116322,2016-08-01,2016-08-01,,"Flipper","Flipper",https://www.imdb.com/title/tt0116322/,Movie,5.4,95,1996,"Adventure, Crime, Drama, Family",12325,1996-05-17,"Alan Shapiro"
1987,tt3612032,2016-08-01,2016-08-01,,"Wrong Turn 6: Last Resort","Wrong Turn VI",https://www.imdb.com/title/tt3612032/,Video,4.1,91,2014,"Adventure, Horror",19317,2014-10-13,"Valeri Milev"
1988,tt0053793,2016-08-01,2016-08-01,,"Elmer Gantry","Elmer Gantry",https://www.imdb.com/title/tt0053793/,Movie,7.7,146,1960,"Drama",14110,1960-08-26,"Richard Brooks"
1989,tt0033373,2016-08-01,2016-08-01,,"Ball of Fire","Ball of Fire",https://www.imdb.com/title/tt0033373/,Movie,7.7,111,1941,"Comedy, Romance",15403,1942-01-09,"Howard Hawks"
1990,tt0194314,2016-08-01,2016-08-01,,"Romance","Romance",https://www.imdb.com/title/tt0194314/,Movie,5.2,84,1999,"Drama, Romance",13002,1999-04-14,"Catherine Breillat"
1991,tt0979434,2016-08-01,2016-08-01,,"Lottery Ticket","Lottery Ticket",https://www.imdb.com/title/tt0979434/,Movie,5.1,99,2010,"Comedy",11924,2010-08-20,"Erik White"
1992,tt0063611,2016-08-01,2016-08-01,,"Shame","Skammen",https://www.imdb.com/title/tt0063611/,Movie,8.0,103,1968,"Drama",16043,1968-12-23,"Ingmar Bergman"
1993,tt1945062,2016-08-01,2016-08-01,,"About Cherry","About Cherry",https://www.imdb.com/title/tt1945062/,Movie,4.8,98,2012,"Drama",11252,2012-08-09,"Stephen Elliott"
1994,tt0094933,2016-08-01,2016-08-01,,"D.O.A.","D.O.A.",https://www.imdb.com/title/tt0094933/,Movie,6.1,96,1988,"Mystery, Thriller",11430,1988-03-18,"Annabel Jankel, Rocky Morton"
1995,tt2571140,2016-08-01,2016-08-01,,"Boss","Boss",https://www.imdb.com/title/tt2571140/,Movie,5.1,143,2013,"Action, Comedy, Drama",12796,2013-10-16,"Anthony D'Souza"
1996,tt0116493,2016-08-01,2016-08-01,,"Harriet the Spy","Harriet the Spy",https://www.imdb.com/title/tt0116493/,Movie,6.0,100,1996,"Comedy, Drama, Family",12052,1996-07-10,"Bronwen Hughes"
1997,tt0099426,2016-08-01,2016-08-01,,"Bullet in the Head","Dip huet gai tau",https://www.imdb.com/title/tt0099426/,Movie,7.5,136,1990,"Action, Crime, Drama, Thriller, War",12502,1990-08-17,"John Woo"
1998,tt1640484,2016-08-01,2016-08-01,,"Jumping the Broom","Jumping the Broom",https://www.imdb.com/title/tt1640484/,Movie,5.7,112,2011,"Comedy, Drama",11941,2011-05-06,"Salim Akil"
1999,tt1855401,2016-08-01,2016-08-01,,"Tim and Eric's Billion Dollar Movie","Tim and Eric's Billion Dollar Movie",https://www.imdb.com/title/tt1855401/,Movie,5.4,93,2012,"Comedy",10923,2012-01-27,"Tim Heidecker, Eric Wareheim"
2000,tt5286444,2016-08-01,2016-08-01,,"Neerja","Neerja",https://www.imdb.com/title/tt5286444/,Movie,7.6,122,2016,"Biography, Drama, Thriller",24723,2016-02-19,"Ram Madhvani"
2001,tt0429078,2016-08-01,2016-08-01,,"Seven Swords","Qi jian",https://www.imdb.com/title/tt0429078/,Movie,6.1,153,2005,"Action, Adventure, Fantasy",10128,2005-07-29,"Hark Tsui"
2002,tt1217213,2016-08-01,2016-08-01,,"Secret of the Wings","Secret of the Wings",https://www.imdb.com/title/tt1217213/,Movie,7.0,75,2012,"Animation, Family, Fantasy",15725,2012-08-16,"Peggy Holmes, Bobs Gannaway"
2003,tt0085862,2016-08-01,2016-08-01,,"Lone Wolf McQuade","Lone Wolf McQuade",https://www.imdb.com/title/tt0085862/,Movie,6.3,107,1983,"Action, Crime, Drama, Romance, Thriller, Western",15150,1983-04-15,"Steve Carver"
2004,tt2017561,2016-08-01,2016-08-01,,"Journey to the West: Conquering the Demons","Xi you: Xiang mo pian",https://www.imdb.com/title/tt2017561/,Movie,6.7,110,2013,"Action, Adventure, Comedy, Fantasy, Romance",14830,2013-02-07,"Stephen Chow, Chi-Kin Kwok"
2005,tt1228953,2016-08-01,2016-08-01,,"Big Fan","Big Fan",https://www.imdb.com/title/tt1228953/,Movie,6.6,88,2009,"Comedy, Crime, Drama, Sport",10140,2021-09-18,"Robert Siegel"
2006,tt0807758,2016-08-01,2016-08-01,,"Partner","Partner",https://www.imdb.com/title/tt0807758/,Movie,5.8,155,2007,"Comedy, Drama, Romance",14682,2007-07-20,"David Dhawan"
2007,tt0430651,2016-08-01,2016-08-01,,"Survive Style 5+","Survive Style 5+",https://www.imdb.com/title/tt0430651/,Movie,7.4,120,2004,"Comedy, Fantasy, Horror, Mystery, Romance, Thriller",10408,2005-04-19,"Gen Sekiguchi"
2008,tt0042369,2016-08-01,2016-08-01,,"D.O.A.","D.O.A.",https://www.imdb.com/title/tt0042369/,Movie,7.2,83,1949,"Crime, Drama, Film-Noir, Mystery",13872,1950-04-21,"Rudolph Maté"
2009,tt0018578,2016-08-01,2016-08-01,,"Wings","Wings",https://www.imdb.com/title/tt0018578/,Movie,7.5,144,1927,"Drama, Romance, War, Action",15802,1929-01-05,"William A. Wellman, Harry d'Abbadie d'Arrast"
2010,tt0116839,2016-08-01,2016-08-01,,"Lawnmower Man 2: Beyond Cyberspace","Lawnmower Man 2: Beyond Cyberspace",https://www.imdb.com/title/tt0116839/,Movie,2.6,93,1995,"Action, Sci-Fi, Thriller",10669,1996-01-12,"Farhad Mann"
2011,tt0470833,2016-08-01,2016-08-01,,"Keloglan vs. the Black Prince","Keloglan Karaprens'e Karsi",https://www.imdb.com/title/tt0470833/,Movie,1.6,105,2006,"Comedy",9745,2006-01-06,"Tayfun Güneyer"
2012,tt3073256,2016-08-01,2016-08-01,,"Nisshartho Bhalobasha: What is Love!","Nisshartho Bhalobasha: What is Love!",https://www.imdb.com/title/tt3073256/,Movie,6.9,151,2013,"Action, Comedy, Drama, Romance",8808,2013-08-08,"Ananta Jalil"
2013,tt0485241,2016-08-01,2016-08-01,,"Don't Worry, I'm Fine","Je vais bien, ne t'en fais pas",https://www.imdb.com/title/tt0485241/,Movie,7.3,92,2006,"Drama",11637,2006-09-06,"Philippe Lioret"
2014,tt0104647,2016-08-01,2016-08-01,,"Kuffs","Kuffs",https://www.imdb.com/title/tt0104647/,Movie,5.9,102,1992,"Action, Comedy, Crime",12147,1992-01-10,"Bruce A. Evans"
2015,tt0073636,2016-08-01,2016-08-01,,"Rooster Cogburn","Rooster Cogburn",https://www.imdb.com/title/tt0073636/,Movie,6.8,108,1975,"Adventure, Drama, Western",14114,1975-11,"Stuart Millar"
2016,tt0783598,2016-08-01,2016-08-01,,"Until Death","Until Death",https://www.imdb.com/title/tt0783598/,Movie,5.7,101,2007,"Crime, Drama, Thriller",10736,2007-06-20,"Simon Fellows"
2017,tt1769363,2016-08-01,2016-08-01,,"The Giant Mechanical Man","The Giant Mechanical Man",https://www.imdb.com/title/tt1769363/,Movie,6.6,94,2012,"Comedy, Drama, Romance",11124,2012-04-27,"Lee Kirk"
2018,tt3802576,2016-08-01,2016-08-01,,"Brothers","Brothers",https://www.imdb.com/title/tt3802576/,Movie,6.4,156,2015,"Action, Drama, Sport",14987,2015-08-14,"Karan Malhotra"
2019,tt0102164,2016-08-01,2016-08-01,,"Johnny Stecchino","Johnny Stecchino",https://www.imdb.com/title/tt0102164/,Movie,7.2,102,1991,"Comedy, Crime, Romance",12158,1991-10-24,"Roberto Benigni"
2020,tt2261749,2016-08-01,2016-08-01,,"The Gilded Cage","La cage dorée",https://www.imdb.com/title/tt2261749/,Movie,7.1,90,2013,"Comedy, Drama",10885,2013-04-24,"Ruben Alves"
2021,tt0040613,2016-08-01,2016-08-01,,"Mr. Blandings Builds His Dream House","Mr. Blandings Builds His Dream House",https://www.imdb.com/title/tt0040613/,Movie,7.2,94,1948,"Comedy, Romance",13464,1948-06-04,"H.C. Potter"
2022,tt0267248,2016-08-01,2016-08-01,,"Abandon","Abandon",https://www.imdb.com/title/tt0267248/,Movie,4.8,99,2002,"Drama, Mystery, Romance, Thriller",10386,2002-10-18,"Stephen Gaghan"
2023,tt0024034,2016-08-01,2016-08-01,,"42nd Street","42nd Street",https://www.imdb.com/title/tt0024034/,Movie,7.3,89,1933,"Comedy, Drama, Musical, Romance",13623,1933-03-11,"Lloyd Bacon"
2024,tt0098360,2016-08-01,2016-08-01,,"Violent Cop","Sono otoko, kyôbô ni tsuki",https://www.imdb.com/title/tt0098360/,Movie,7.1,103,1989,"Action, Crime, Drama, Thriller",13856,1999-07-16,"Takeshi Kitano"
2025,tt0066831,2016-08-01,2016-08-01,,"Big Jake","Big Jake",https://www.imdb.com/title/tt0066831/,Movie,7.1,110,1971,"Drama, Western",15488,1971-05-26,"George Sherman, John Wayne"
2026,tt1045655,2016-08-01,2016-08-01,,"The Haunting of Molly Hartley","The Haunting of Molly Hartley",https://www.imdb.com/title/tt1045655/,Movie,3.9,85,2008,"Drama, Horror, Thriller",10373,2008-10-31,"Mickey Liddell"
2027,tt1854513,2016-08-01,2016-08-01,,"Blancanieves","Blancanieves",https://www.imdb.com/title/tt1854513/,Movie,7.5,104,2012,"Drama, Fantasy",12028,2012-09-28,"Pablo Berger"
2028,tt1838571,2016-08-01,2016-08-01,,"Juan of the Dead","Juan de los muertos",https://www.imdb.com/title/tt1838571/,Movie,6.4,92,2011,"Action, Comedy, Horror",11403,2012-01-13,"Alejandro Brugués"
2029,tt0080354,2016-08-01,2016-08-01,,"Alligator","Alligator",https://www.imdb.com/title/tt0080354/,Movie,6.1,91,1980,"Horror, Sci-Fi, Thriller",17882,1980-11-14,"Lewis Teague"
2030,tt1504403,2016-08-01,2016-08-01,,"Husk","Husk",https://www.imdb.com/title/tt1504403/,Movie,5.2,83,2011,"Horror, Thriller",11236,2011-11-24,"Brett Simmons"
2031,tt0096426,2016-08-01,2016-08-01,,"Waxwork","Waxwork",https://www.imdb.com/title/tt0096426/,Movie,6.1,95,1988,"Comedy, Horror",15192,1988-06-17,"Anthony Hickox"
2032,tt0091396,2016-08-01,2016-08-01,,"Legal Eagles","Legal Eagles",https://www.imdb.com/title/tt0091396/,Movie,6.0,116,1986,"Comedy, Crime, Romance",12988,1986-06-20,"Ivan Reitman"
2033,tt0076504,2016-08-01,2016-08-01,,"Orca","Orca",https://www.imdb.com/title/tt0076504/,Movie,5.8,92,1977,"Adventure, Drama, Horror, Thriller",14603,1977-07-22,"Michael Anderson"
2034,tt0059550,2016-08-01,2016-08-01,,"Operation 'Y' & Other Shurik's Adventures","Operatsiya 'Y' i drugie priklyucheniya Shurika",https://www.imdb.com/title/tt0059550/,Movie,8.4,95,1965,"Comedy, Crime, Drama, Romance",16012,1965-08-16,"Leonid Gaidai"
2035,tt1020055,2016-08-01,2016-08-01,,"Night Train","Night Train",https://www.imdb.com/title/tt1020055/,Movie,5.7,91,2009,"Crime, Horror, Mystery, Thriller",10152,2009-07-07,"Brian King"
2036,tt0031385,2016-08-01,2016-08-01,,"Goodbye, Mr. Chips","Goodbye, Mr. Chips",https://www.imdb.com/title/tt0031385/,Movie,7.9,114,1939,"Drama, Romance",12155,1939-07-28,"Sam Wood, Sidney Franklin"
2037,tt0780595,2016-08-01,2016-08-01,,"Redline","Redline",https://www.imdb.com/title/tt0780595/,Movie,4.0,95,2007,"Action",9276,2007-04-13,"Andy Cheng"
2038,tt1532958,2016-08-01,2016-08-01,,"Battle of the Year","Battle of the Year",https://www.imdb.com/title/tt1532958/,Movie,5.0,110,2013,"Drama, Music",9820,2013-09-20,"Benson Lee"
2039,tt0118804,2016-08-01,2016-08-01,,"The Butcher Boy","The Butcher Boy",https://www.imdb.com/title/tt0118804/,Movie,7.1,110,1997,"Comedy, Drama",11895,1998-02-20,"Neil Jordan"
2040,tt1068956,2016-08-01,2016-08-01,,"In the Name of God","Khuda Kay Liye",https://www.imdb.com/title/tt1068956/,Movie,8.3,168,2007,"Drama",9716,2007-07-20,"Shoaib Mansoor"
2041,tt0095107,2016-08-01,2016-08-01,,"Ernest Saves Christmas","Ernest Saves Christmas",https://www.imdb.com/title/tt0095107/,Movie,5.7,91,1988,"Comedy, Family, Fantasy",13730,1988-11-11,"John R. Cherry III"
2042,tt1815708,2016-08-01,2016-08-01,,"Freelancers","Freelancers",https://www.imdb.com/title/tt1815708/,Movie,4.7,96,2012,"Action, Crime, Drama",11073,2013-01-12,"Jessy Terrero"
2043,tt0059903,2016-08-01,2016-08-01,,"What's New Pussycat","What's New Pussycat",https://www.imdb.com/title/tt0059903/,Movie,6.0,108,1965,"Comedy",11681,1965-06-22,"Clive Donner"
2044,tt0052151,2016-08-01,2016-08-01,,"Run Silent Run Deep","Run Silent, Run Deep",https://www.imdb.com/title/tt0052151/,Movie,7.3,93,1958,"Action, Drama, War",14335,1958-03-27,"Robert Wise"
2045,tt0045943,2016-08-01,2016-08-01,,"Julius Caesar","Julius Caesar",https://www.imdb.com/title/tt0045943/,Movie,7.2,120,1953,"Drama, History",13852,1953-06-04,"Joseph L. Mankiewicz"
2046,tt0237539,2016-08-01,2016-08-01,,"Bread and Tulips","Pane e tulipani",https://www.imdb.com/title/tt0237539/,Movie,7.3,114,2000,"Comedy, Romance",12369,2001-11-02,"Silvio Soldini"
2047,tt0079579,2016-08-01,2016-08-01,,"Moscow Does Not Believe in Tears","Moskva slezam ne verit",https://www.imdb.com/title/tt0079579/,Movie,8.0,150,1980,"Comedy, Drama, Romance",15350,1980-02-11,"Vladimir Menshov"
2048,tt0319736,2016-08-01,2016-08-01,,"The Legend of Bhagat Singh","The Legend of Bhagat Singh",https://www.imdb.com/title/tt0319736/,Movie,8.1,155,2002,"Biography, Drama, History",18033,2002-06-07,"Rajkumar Santoshi"
2049,tt0102181,2016-08-01,2016-08-01,,"Kafka","Kafka",https://www.imdb.com/title/tt0102181/,Movie,6.8,98,1991,"Drama, Mystery, Sci-Fi, Thriller",11016,1992-03-25,"Steven Soderbergh"
2050,tt0299981,2016-08-01,2016-08-01,,"Highlander: The Source","Highlander: The Source",https://www.imdb.com/title/tt0299981/,TV Movie,3.0,86,2007,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",10246,2007-08-19,"Brett Leonard"
2051,tt0110363,2016-08-01,2016-08-01,,"Little Big League","Little Big League",https://www.imdb.com/title/tt0110363/,Movie,6.2,119,1994,"Comedy, Family, Sport",12247,1994-06-29,"Andrew Scheinman"
2052,tt1519461,2016-08-01,2016-08-01,,"Area 51","Area 51",https://www.imdb.com/title/tt1519461/,Movie,4.3,91,2015,"Horror, Mystery, Sci-Fi, Thriller",15785,2015-05-15,"Oren Peli"
2053,tt0812243,2016-08-01,2016-08-01,,"Ex Drummer","Ex Drummer",https://www.imdb.com/title/tt0812243/,Movie,6.9,100,2007,"Comedy, Crime, Drama, Music",11425,2007-01-31,"Koen Mortier"
2054,tt0057495,2016-08-01,2016-08-01,,"Shock Corridor","Shock Corridor",https://www.imdb.com/title/tt0057495/,Movie,7.3,101,1963,"Drama, Mystery, Thriller",13778,1963-09-25,"Samuel Fuller"
2055,tt0102598,2016-08-01,2016-08-01,,"Only the Lonely","Only the Lonely",https://www.imdb.com/title/tt0102598/,Movie,6.4,104,1991,"Comedy, Romance",13189,1991-05-24,"Chris Columbus"
2056,tt0089208,2016-08-01,2016-08-01,,"Girls Just Want to Have Fun","Girls Just Want to Have Fun",https://www.imdb.com/title/tt0089208/,Movie,6.0,90,1985,"Comedy, Music, Romance",13751,1985-04-12,"Alan Metter"
2057,tt2358592,2016-08-01,2016-08-01,,"Lucia","Lucia",https://www.imdb.com/title/tt2358592/,Movie,8.3,135,2013,"Drama, Sci-Fi, Thriller",13757,2013-09-06,"Pawan Kumar"
2058,tt0131566,2016-08-01,2016-08-01,,"Rogue Trader","Rogue Trader",https://www.imdb.com/title/tt0131566/,Movie,6.4,101,1999,"Crime, Drama, History, Thriller",11202,1999-06-25,"James Dearden"
2059,tt0427968,2016-08-01,2016-08-01,,"Trust the Man","Trust the Man",https://www.imdb.com/title/tt0427968/,Movie,5.7,103,2005,"Comedy, Drama, Romance",8990,2006-09-01,"Bart Freundlich"
2060,tt2245003,2016-08-01,2016-08-01,,"Miss You Already","Miss You Already",https://www.imdb.com/title/tt2245003/,Movie,6.8,112,2015,"Comedy, Drama, Romance",20503,2015-09-25,"Catherine Hardwicke"
2061,tt0486578,2016-08-01,2016-08-01,,"First Sunday","First Sunday",https://www.imdb.com/title/tt0486578/,Movie,4.6,96,2008,"Comedy, Crime, Drama",12214,2008-01-11,"David E. Talbert"
2062,tt0078252,2016-08-01,2016-08-01,,"Snake in the Eagle's Shadow","Se ying diu sau",https://www.imdb.com/title/tt0078252/,Movie,7.3,90,1978,"Action, Comedy",13782,1982-11,"Yuen Woo-Ping"
2063,tt0443431,2016-08-01,2016-08-01,,"Another Gay Movie","Another Gay Movie",https://www.imdb.com/title/tt0443431/,Movie,5.0,92,2006,"Comedy, Romance",9851,2007-05-03,"Todd Stephens"
2064,tt0095652,2016-08-01,2016-08-01,,"Monkey Shines","Monkey Shines",https://www.imdb.com/title/tt0095652/,Movie,6.2,113,1988,"Drama, Horror, Sci-Fi, Thriller",14162,1988-07-29,"George A. Romero"
2065,tt0089346,2016-08-01,2016-08-01,,"Into the Night","Into the Night",https://www.imdb.com/title/tt0089346/,Movie,6.4,115,1985,"Action, Comedy, Crime, Drama, Romance, Thriller",14511,1985-02-22,"John Landis"
2066,tt1707392,2016-08-01,2016-08-01,,"Lovely Molly","Lovely Molly",https://www.imdb.com/title/tt1707392/,Movie,5.3,99,2011,"Drama, Horror",10350,2012-06-29,"Eduardo Sánchez"
2067,tt0117550,2016-08-01,2016-08-01,,"Santa with Muscles","Santa with Muscles",https://www.imdb.com/title/tt0117550/,Movie,2.6,97,1996,"Comedy",9864,1996-12-06,"John Murlowski"
2068,tt2505294,2016-08-01,2016-08-01,,"Ask Me Anything","Ask Me Anything",https://www.imdb.com/title/tt2505294/,Movie,6.0,100,2014,"Comedy, Drama, Mystery, Romance",13444,2014-12-19,"Allison Burnett"
